name,label
"Discharge 2020: European Joint Undertaking for ITER and the Development of Fusion Energy",1
"Discharge 2020: SESAR  Joint Undertaking",0
"Discharge 2020: Clean Sky 2 Joint Undertaking",1
"Discharge 2020: Bio-based Industries Joint Undertaking",1
"Discharge 2020: Innovative Medicines Initiative 2 Joint Undertaking",0
"Discharge 2020: Fuel Cells and Hydrogen 2 Joint Undertaking",1
"Discharge 2020: Shift2Rail Joint Undertaking",1
"Discharge 2020: ECSEL Joint Undertaking",0
"Discharge 2020: Euro High Performance Computing Joint Undertaking",0
"Discharge 2020: EU general budget - EDF  (8th, 9th, 10th and 11th)",0
"Discharge 2020: Performance, financial management and control of EU agencies",0
"The follow up of the Conference on the Future of Europe",0
"Strengthening Europol's mandate: cooperation with private parties, processing of personal data, and support for research and innovation",0
"Distortive foreign subsidies",0
"Discharge 2020: EU general budget - Commission and executive agencies",0
"Discharge 2020: EU general budget - European Parliament",0
"Discharge 2020: EU general budget - Council and European Council",0
"Discharge 2020: EU general budget - Court of Justice of the European Union",0
"Discharge 2020: EU general budget - Court of Auditors",0
"Discharge 2020: EU general budget - European Economic and Social Committee",0
"Discharge 2020: EU general budget -  Committee of the Regions",0
"Discharge 2020: EU general budget - European Ombudsman",0
"Discharge 2020: EU general budget - European Data Protection Supervisor",0
"Discharge 2020: EU general budget - European External Action Service",0
"Discharge 2020: European Centre for the Development of Vocational Training (Cedefop)",0
"Discharge 2020: European Foundation for the Improvement of Living and Working Conditions (Eurofound)",0
"Discharge 2020: European Union  Agency for Fundamental Rights",0
"Discharge 2020: European Monitoring Centre for Drugs and Drug Addiction",0
"Discharge 2020: European Environment Agency",1
"Discharge 2020: European Agency for Safety and Health at Work (EU-OSHA)",0
"Discharge 2020: Translation Centre for the Bodies of the European Union",0
"Discharge 2020: European Medicines Agency",0
"Discharge 2020: European Union Agency for Criminal Justice Cooperation (Eurojust)",0
"Discharge 2020: European Training Foundation",0
"Discharge 2020: European Maritime Safety Agency",0
"Discharge 2020: European Union Aviation Safety Agency",0
"Discharge 2020: European Food Safety Authority",0
"Discharge 2020: European Centre for Disease Prevention and Control",0
"Discharge 2020: European Union Agency for Cybersecurity (ENISA)",0
"Discharge 2020: European Union Agency for Railways",0
"Discharge 2020: European Union Agency for Law Enforcement Training (CEPOL)",0
"Discharge 2020: European Border and Coast Guard Agency",0
"Discharge 2020: European GNSS Agency (From 1 January 2021, the European Union Agency for the Space Programme)",0
"Discharge 2020: European Fisheries Control Agency",1
"Discharge 2020: European Chemicals Agency",0
"Discharge 2020: Euratom Supply Agency",0
"Discharge 2020: European Union Agency for Law Enforcement Cooperation (Europol)",0
"Discharge 2020: European Institute for Gender Equality",0
"Discharge 2020: European Institute for Gender Equality",0
"Discharge 2020: European Banking Authority",0
"Discharge 2020: European Insurance and Occupational Pensions Authority",0
"Discharge 2020: European Securities and Markets Authority",0
"Discharge 2020:  European Union Agency for the Cooperation of Energy Regulators",1
"Discharge 2020: Agency for Support for BEREC (BEREC Office)",0
"Discharge 2020: European Institute of innovation and technology",0
"Discharge 2020: European Asylum Support Office",0
"Discharge 2020: European Union Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",0
"Discharge 2020: European Joint Undertaking for ITER and the Development of Fusion Energy",1
"Discharge 2020: SESAR  Joint Undertaking",0
"Discharge 2020: Clean Sky 2 Joint Undertaking",0
"Discharge 2020: Bio-based Industries Joint Undertaking",0
"Discharge 2020: Innovative Medicines Initiative 2 Joint Undertaking",0
"Discharge 2020: Fuel Cells and Hydrogen 2 Joint Undertaking",1
"Discharge 2020: Shift2Rail Joint Undertaking",1
"Discharge 2020: ECSEL Joint Undertaking",0
"Discharge 2020: Euro High Performance Computing Joint Undertaking",0
"Discharge 2020: EU general budget - EDF  (8th, 9th, 10th and 11th)",0
"Discharge 2020: Performance, financial management and control of EU agencies",0
"Numerical strength of the standing committees",0
"European Medicines Agency",0
"Objection pursuant to Rule 111(3): Determining cases where identity data may be considered as same or similar for the purpose of the multiple identity detection pursuant to Regulation (EU) 2019/817",0
"Objection pursuant to Rule 111(3): Determining cases where identity data may be considered as same or similar for the purpose of the multiple identity detection pursuant to Regulation (EU) 2019/818",0
"Digital Services Act",0
"The follow up of the Conference on the Future of Europe",0
"Strengthening Europol's mandate: cooperation with private parties, processing of personal data, and support for research and innovation",0
"Distortive foreign subsidies",0
"Discharge 2020: EU general budget - Commission and executive agencies",0
"Discharge 2020: EU general budget - European Parliament",0
"Discharge 2020: EU general budget - Council and European Council",0
"Discharge 2020: EU general budget - Court of Justice of the European Union",0
"Discharge 2020: EU general budget - Court of Auditors",0
"Discharge 2020: EU general budget - European Economic and Social Committee",0
"Discharge 2020: EU general budget -  Committee of the Regions",0
"Discharge 2020: EU general budget - European Ombudsman",0
"Discharge 2020: EU general budget - European Data Protection Supervisor",0
"Discharge 2020: EU general budget - European External Action Service",0
"Discharge 2020: European Centre for the Development of Vocational Training (Cedefop)",0
"Discharge 2020: European Foundation for the Improvement of Living and Working Conditions (Eurofound)",0
"Discharge 2020: European Union  Agency for Fundamental Rights",0
