name,
"European Partnership on Metrology",0
"European Union Agency for Asylum",0
"Serious cross-border threats to health",0
"EU/Australia Agreement: modification of concessions on all the tariff-rate quotas included in the EU Schedule CLXXV",0
"Strengthening democracy, media freedom and pluralism in the EU",0
"The European Education Area: a shared holistic approach",0
"An intellectual property action plan to support the EU's recovery and resilience",0
"The first anniversary of the de facto abortion ban in Poland",0
"Common agricultural policy: financing, management and monitoring",1
"Insolvency proceedings: replacing Annexes A and B to Regulation",0
"Integrated farm statistics: Union contribution under the MFF for the years 2021 to 2027",0
"Packaged retail and insurance-based investment products (PRIIPs): key information documents. Extension of the transitional arrangement",0
"Undertakings for collective investment in transferable securities (UCITS): the use of key information documents",0
"EU sports policy: assessment and possible ways forward",0
"Digitalisation of the European reporting, monitoring and audit",0
"A European strategy for critical raw materials",1
"The revision of the Financial Regulation in view of the entry into force of the 2021-2027 multiannual financial framework",0
"A Pharmaceutical Strategy for Europe",0
"2022 budgetary procedure: joint text",0
"Draft amending budget No 5/2021: Humanitarian support to refugees in Turkey",0
"Draft amending budget No 6/2021: Additional vaccines doses to low and lower-middle income countries, UCPM reinforcement and other adjustments to expenditure and revenue",0
"A European strategy for critical raw materials",1
"The revision of the Financial Regulation in view of the entry into force of the 2021-2027 multiannual financial framework",0
"A Pharmaceutical Strategy for Europe",0
"Legal migration policy and law",0
"Introduction of a European Social Security pass for improving the digital enforcement of social security rights and fair mobility",0
"Multilateral negotiations in view of the 12th WTO Ministerial Conference in Geneva, 30 November to 3 December 2021",0
"Adequate minimum wages in the European Union",0
"Espagne - Mobilisation of the European Globalisation Adjustment Fund: application EGF/2021/001 ES/Pas Vasco metal",0
"Legal migration policy and law",0
"Introduction of a European Social Security pass for improving the digital enforcement of social security rights and fair mobility",0
"Multilateral negotiations in view of the 12th WTO Ministerial Conference in Geneva, 30 November to 3 December 2021",0
"Hague Convention (1980) on the Civil Aspects of International Child Abduction: accession of Philippines",0
"Hague Convention (1980) on the Civil Aspects of International Child Abduction: accession of Jamaica",0
"Hague Convention (1980) on the Civil Aspects of International Child Abduction: accession of Bolivia",0
"Hague Convention (1980) on the Civil Aspects of International Child Abduction: accession of Pakistan",0
"Hague Convention (1980) on the Civil Aspects of International Child Abduction: accession of Tunisia",0
"The safety of truck parking lots in the EU",0
"Situation in Somalia",0
"Human rights violations by private military and security companies, particularly the Wagner Group",0
"The human rights situation in Cameroon",0
"Situation in Somalia",0
"Human rights violations by private military and security companies, particularly the Wagner Group",0
"The human rights situation in Cameroon",0
"Use of technologies for the processing of data for the purpose of combating online child sexual abuse (temporary derogation from Directive 2002/58/EC)",0
"Recognition of third countries certificates in inland navigation",0
"Draft amending budget No 3/2021: surplus of the financial year 2020",0
"European Union Agency for Fundamental Rights",0
"Interbus agreement: Protocol on international regular and special regular carriage of passengers by coach and bus",0
"Protection of the EU's financial interests - combatting fraud - annual report 2019",0
"Internal Security Fund",0
"Amendments to Parliament's Rules of Procedure",0
"Financial Activities of the European Investment Bank - annual report 2020",0
"Control of the financial activities of the European Investment Bank - annual report 2019",0
"European Maritime, Fisheries and Aquaculture Fund",1
"Railway safety and signalling: Assessing the state of play of the ERTMS deployment",0
"Trade related aspects and implications of COVID-19",0
"Common system of value added tax: conferral of implementing powers to the Commission to determine the meaning of the terms used in certain provisions",0
"Amendments to Parliament's Rules of Procedure",0
"Financial Activities of the European Investment Bank - annual report 2020",0
"Control of the financial activities of the European Investment Bank - annual report 2019",0
"Objection pursuant to Rule 112(2) and (3): Genetically modified soybean DAS-81419-2",1
"Objection pursuant to Rule 112(2) and (3): Genetically modified soybean DAS-81419-2  DAS-44406-6",1
"Objection pursuant to Rule 112(2) and (3): Genetically modified maize 1507  MIR162  MON810  NK603 and genetically modified maize combining two or three of the single events 1507, MIR162, MON810 and NK603",1
"Objection pursuant to Rule 112(2) and (3): Genetically modified maize Bt 11 (SYN-BT11-1)",1
"Protection of the EU's financial interests - combatting fraud - annual report 2019",0
"The impact on the fishing sector of offshore windfarms and other renewable energy systems",0
